external_id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
Labor_364,K012 - MUESTREO DE SUELO,true,K012,MUESTREO DE SUELO,1.87,,0,0,0,
Labor_365,K013 - CONTROL DE MALEZ Y FUMIGACION,true,K013,CONTROL DE MALEZ Y FUMIGACION,1.87,,0,0,0,
Labor_366,K014 - CONTROL DE PLAGAS,true,K014,CONTROL DE PLAGAS,1.87,,0,0,0,
Labor_367,K015 - CORTE DE SEMILLA,true,K015,CORTE DE SEMILLA,1.87,,0,0,0,
Labor_368,K016 - TRANSPORTE DE SEMILLA,true,K016,TRANSPORTE DE SEMILLA,1.87,,0,0,0,
Labor_369,K018 - RONDAS,true,K018,RONDAS,1.87,,0,0,0,
Labor_370,K02 - ACARREO DE AGUA PA FUMIGAR,true,K02,ACARREO DE AGUA PA FUMIGAR,1.87,,0,0,0,
Labor_371,K020 - DRENAJE,true,K020,DRENAJE,1.87,,0,0,0,
Labor_372,K021 - ENMIENDA DE SUELOS,true,K021,ENMIENDA DE SUELOS,1.87,,0,0,0,
Labor_373,K022 - FERTILIZACION 1,true,K022,FERTILIZACION 1,1.87,,0,0,0,
Labor_374,K023 - FERTILIZACION 2,true,K023,FERTILIZACION 2,1.87,,0,0,0,
Labor_375,K024 - FERTILIZACION 3,true,K024,FERTILIZACION 3,1.87,,0,0,0,
Labor_376,K025 - Prep. Bebidas Hidratantes,true,K025,Prep. Bebidas Hidratantes,1.87,,0,0,0,
Labor_377,K026 - HILANDO COGOLLOS,true,K026,HILANDO COGOLLOS,1.87,,0,0,0,
Labor_378,K028 - REQUEMA,true,K028,REQUEMA,1.87,,0,0,0,
Labor_379,K030 - RIEGO,true,K030,RIEGO,1.87,,0,0,0,
Labor_380,K031 - MUESTREO DE PRE-CORTE,true,K031,MUESTREO DE PRE-CORTE,1.87,,0,0,0,
Labor_381,K032 - MUESTREO DE PLAGAS,true,K032,MUESTREO DE PLAGAS,1.87,,0,0,0,
Labor_382,K033 - MUESTREO FOLIAR,true,K033,MUESTREO FOLIAR,1.87,,0,0,0,
Labor_383,K034 - OPERACION DE MOTOBOMBAS,true,K034,OPERACION DE MOTOBOMBAS,1.87,,0,0,0,
Labor_384,K035 - APLICACION DE CACHAZA,true,K035,APLICACION DE CACHAZA,1.87,,0,0,0,
Labor_385,K036 - PINERO,true,K036,PINERO,1.87,,0,0,0,
Labor_386,K037 - RECOJO Y REPICA DE CAÑA,true,K037,RECOJO Y REPICA DE CAÑA,1.87,,0,0,0,
Labor_387,K038 - RECOJO DE PIEDRAS,true,K038,RECOJO DE PIEDRAS,1.87,,0,0,0,
Labor_388,K039 - REFORESTACION,true,K039,REFORESTACION,1.87,,0,0,0,
Labor_389,K04 - TRATAMIENTO DE SEMILLA,true,K04,TRATAMIENTO DE SEMILLA,1.87,,0,0,0,
Labor_390,K040 - REPARTO DE AGUA A TRABAJADORES,true,K040,REPARTO DE AGUA A TRABAJADORES,1.87,,0,0,0,
Labor_391,K041 - RESIEMBRA,true,K041,RESIEMBRA,1.87,,0,0,0,
Labor_392,K043 - RIEGO DE ASPERSION,true,K043,RIEGO DE ASPERSION,1.87,,0,0,0,
Labor_393,K044 - RIEGO POR GRAVEDAD,true,K044,RIEGO POR GRAVEDAD,1.87,,0,0,0,
Labor_394,K046 - SERENO DE EQUIPO,true,K046,SERENO DE EQUIPO,1.87,,0,0,0,
